SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60
P-0006863-T01-IM5	0.566175714440951	0	0	0	0	0.138455807263106	0	0	0	0	0	0	0	0.0695198919252197	0	0	0	0	0.198459552613736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0007969-T01-IM5	0.640991342203012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240228198350159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0801337484237834	0	0	0	0	0	0	0	0	0	0	0
P-0007995-T01-IM5	0.397928319378009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40378940625278	0	0	0	0	0	0	0.143433691450838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0008034-T01-IM5	0.459808816359538	0	0	0	0	0.138361017644805	0	0	0	0	0	0	0	0.276431560666882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0008188-T01-IM5	0.406280045338091	0	0	0	0	0	0	0	0	0	0	0	0	0.0885464390854222	0	0	0	0	0.238489205684484	0	0	0	0	0	0	0.107537710900332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0788048164256688	0	0	0	0	0	0	0	0	0	0	0.0622691119978703	0	0	0	0	0	0	0	0	0	0	0	0
P-0008417-T02-IM6	0.551340927250626	0	0	0	0	0	0	0	0	0	0	0	0	0.155779906796208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076096282378623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0008504-T03-IM6	0.283655813496351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0618722709932242	0	0.279659606610356	0	0	0	0	0	0.193179149323001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0622710984594434	0	0	0	0	0	0	0	0	0	0.0677467449159505	0	0	0	0	0	0
P-0008667-T03-IM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.511267164811107	0	0	0	0	0	0	0.399377722085924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0009403-T02-IM5	0.874078770839558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0823883136614417	0	0	0	0	0	0	0	0	0	0
P-0009484-T01-IM5	0.188513611361712	0	0	0	0	0.297331916359765	0	0	0	0	0	0	0	0.210235326345189	0	0	0	0	0	0	0	0	0	0	0	0.26045090031176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0009585-T01-IM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21090516754368	0	0	0	0	0.789094832456321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0009858-T01-IM5	0.826331080761666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123434020172239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0009964-T01-IM5	0.412912328871596	0	0	0	0	0	0	0	0	0	0	0	0	0.18208134174734	0	0.117395746462574	0	0	0	0	0	0	0	0	0.0668843945383415	0.0687220246000289	0	0	0	0	0	0	0	0	0	0	0.0714414350723383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0010167-T01-IM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.717010352611821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15484677286933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109745118525205	0	0	0	0	0	0	0	0	0	0	0
P-0010196-T01-IM5	0.441873475593104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165582023077489	0	0	0	0	0	0	0	0	0	0	0.0643239693594062	0	0	0	0	0	0.0864594126186335	0	0	0	0	0	0	0	0	0.0886689836996636	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0010798-T01-IM5	0.396971366693618	0	0	0	0	0.1492082452844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0836677816806556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267179552250551	0	0	0	0	0	0	0	0	0	0	0	0.102973031256667	0	0	0	0	0	0
P-0010833-T01-IM5	0.299659808678686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.685894302587317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0011226-T01-IM5	0.694298087829775	0	0	0	0	0	0	0	0	0	0	0	0	0.0751530271386137	0	0	0	0	0.150164880384995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0011235-T01-IM5	0.574616606641789	0	0.0611573475278568	0	0	0	0	0	0	0	0	0	0	0.0818463751275792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241081649513418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0011540-T01-IM5	0.627536486557996	0	0	0	0	0	0	0	0	0	0	0	0	0.177605384380477	0	0	0	0	0	0	0	0	0	0	0	0.125618289730212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069239839331314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0012115-T01-IM5	0.567217593529822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.382742149422831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0012249-T01-IM5	0.670806484948595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133960124164524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0897789065712668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0012313-T01-IM5	0.652653938279887	0	0.0938285658823416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0911675991062133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0013010-T01-IM5	0.615565599152598	0	0	0	0	0.105581671089224	0	0	0	0	0	0	0	0.196064540928544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0013923-T02-IM6	0.387421670645634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417944456212366	0	0	0	0	0	0.0977954608908122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0014994-T01-IM6	0.562710291438658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320295467150271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0015252-T01-IM6	0.744122325365147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203974978764744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0015344-T01-IM6	0.679279685179726	0	0	0	0	0	0	0	0	0	0	0	0	0.320720314820274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0015416-T01-IM6	0.758797665511729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115998811556966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0015536-T01-IM6	0.472134312827809	0	0	0	0	0	0	0	0	0	0	0	0	0.151844968275793	0	0	0	0.0951184335476738	0	0	0	0	0	0	0	0.171365191946031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0015699-T01-IM6	0.261189705166419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154232638102075	0	0	0	0	0	0	0	0	0	0	0.097495708883135	0	0	0	0	0	0	0	0	0	0.214324320658048	0	0	0	0.0746967646910153	0	0.0676715154039326	0	0	0	0	0	0	0	0	0	0	0	0
P-0016413-T01-IM6	0.62572494541842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0966797500680986	0	0	0.0837979429141433	0.0782283984180843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0016938-T01-IM6	0.408696905736469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19537789964836	0	0	0	0	0	0	0	0	0	0	0	0.223174958579973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0017925-T01-IM6	0.485488140126501	0	0	0	0	0	0	0	0	0	0	0	0	0.108187668236389	0	0	0	0	0.119498993889899	0	0	0	0	0	0.0640804726747685	0	0	0	0	0	0.121681462581507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0017986-T01-IM6	0.692807160883134	0	0	0	0	0	0	0	0	0	0	0	0	0.0687257287838829	0	0	0	0.0777219266717421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14429826596609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0019168-T01-IM6	0.466756023041638	0	0	0	0	0.168006364322503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0679383987150429	0	0	0	0.0862975799580607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0640404362902168	0	0	0	0	0	0	0	0	0
P-0019183-T01-IM6	0	0	0	0	0	0.061491009569084	0	0	0	0	0	0	0	0	0	0	0	0	0.770596555163169	0	0	0.0611014327588528	0	0	0	0	0	0	0	0	0	0	0.106811002508894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0019416-T01-IM6	0	0	0	0	0	0.252849998943887	0	0	0	0	0	0	0	0	0	0	0	0	0.413903988203814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231704961562655	0	0	0	0	0	0	0	0	0	0	0	0	0.0693957465787228	0	0	0	0	0	0	0	0	0	0
P-0019464-T01-IM6	0.53113305660624	0	0	0	0	0.0777155405559237	0	0	0	0	0	0	0	0.124180893035536	0	0	0	0	0.0902294517092493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0019475-T01-IM6	0.512735119873094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0945332345405471	0	0	0	0	0	0	0	0	0	0	0.0662900599560725	0	0	0	0	0	0	0	0	0	0	0	0.236921377770263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0019545-T01-IM6	0.508919463358097	0	0	0	0	0.226280369639975	0	0	0	0	0	0	0	0.235728903708157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0019807-T03-IM6	0.756441302687425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153415248267021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0020242-T01-IM6	0.561436512286245	0	0	0	0	0	0	0	0	0	0	0	0	0.0639068594140188	0	0	0	0	0	0	0	0	0	0	0.0784886019635231	0	0	0	0	0	0.185962923530855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0020431-T01-IM6	0.735729047799741	0	0	0	0	0	0	0	0	0	0	0	0	0.136606684611198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666597302063438	0	0	0	0	0	0	0	0	0	0	0	0
P-0020616-T01-IM6	0.625069791411954	0	0	0	0	0	0	0	0	0	0	0	0	0.12018338351353	0	0	0	0.0993398680035939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0985990038887092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0020633-T01-IM6	0.412349810147241	0	0	0	0	0	0	0	0	0	0	0	0	0.0969220245990587	0	0	0	0	0	0	0	0	0	0	0	0.361102853091996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0021292-T01-IM6	0.641846680948157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0632768278956675	0	0	0	0	0	0.0829284126632239	0	0	0	0	0	0	0	0	0	0	0	0.104941377964437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0021315-T01-IM6	0	0	0	0	0	0.392399207494799	0	0	0	0	0	0	0	0.427993569623472	0	0	0	0	0.144629393848017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0021346-T01-IM6	0.389945765317725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498155490946913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0021744-T01-IM6	0.284199095068778	0	0	0	0	0.386285468625478	0	0	0	0	0	0	0	0	0	0	0	0	0.222676582075048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0021856-T01-IM6	0.753914382239658	0	0.11341345684997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0708345935353745	0	0	0	0	0	0	0	0	0	0	0
P-0022508-T01-IM6	0.652471164736038	0	0	0	0	0.271039246778043	0	0	0	0	0	0	0	0.0601510303219595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0023162-T01-IM6	0.20023915518857	0	0	0	0	0.294312041263899	0	0	0	0.074928451436156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277174970807399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0025047-T01-IM6	0.399766376789547	0	0	0	0	0	0	0	0	0	0	0	0	0.0977285383912358	0	0	0	0.0650530941086127	0	0	0	0	0	0	0	0.242391848024551	0	0	0	0	0	0	0	0	0	0	0.110316105490541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0847440170357778	0	0	0	0	0	0	0	0	0	0	0
P-0025073-T01-IM6	0.592390273267432	0	0	0	0	0	0	0	0	0.079743149811962	0	0	0	0	0	0	0	0	0.155705796417571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0025083-T01-IM6	0.53214705573407	0	0	0	0	0	0	0	0	0	0	0	0	0.151094089322005	0	0	0	0	0.202558387405342	0	0	0	0	0	0	0	0	0	0	0	0.0692158291957237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0025215-T01-IM6	0.326045555321656	0	0	0	0	0.25279433086348	0	0	0	0	0	0	0	0.113345566237766	0	0.208210089563762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0025695-T01-IM6	0.795148515951841	0	0	0	0	0	0	0	0	0	0	0	0	0.0641916230638924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0823814037907519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0025883-T01-IM6	0.207675402202574	0	0	0	0	0.455285264715815	0	0	0	0	0	0	0	0	0	0	0	0	0.14679025235389	0	0	0	0	0	0	0	0	0	0	0	0.0654404605751322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0025952-T01-IM6	0.592859404832654	0	0	0	0	0.136304920613947	0	0	0	0	0	0	0	0	0	0	0	0	0.182701035658913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0026118-T01-IM6	0.695988712946903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0615554173554925	0	0	0	0	0	0.0614738057163442	0	0	0	0	0	0	0	0	0	0	0.0688754153760153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0026678-T01-IM6	0.854221594181455	0	0	0	0	0	0	0	0	0	0	0	0	0.0820833591341968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0026683-T01-IM6	0.760439561807589	0	0	0	0	0	0	0	0	0	0	0	0	0.116272158252307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0026875-T01-IM6	0.211658152826593	0	0	0	0	0.0937848368940669	0	0	0	0	0	0	0	0.147431514057361	0	0	0	0	0.316246756814593	0	0	0	0	0	0	0.172414664610385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0026935-T03-IM6	0.550455723357742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206717557972953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149142966373967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0026962-T01-IM6	0.128035218745162	0	0	0	0	0	0	0	0	0	0	0	0	0.241915568643184	0	0	0	0	0.542907002654853	0	0	0	0	0	0	0.0677938326005331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0027241-T01-IM6	0.655074328457808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142839772016271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0915198561641545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0027335-T01-IM6	0.50733474981211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.393963177799191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0027375-T01-IM6	0.266944422766878	0	0	0	0	0	0	0	0	0	0	0	0	0.30729406336553	0	0	0	0	0.235022548688323	0	0	0	0	0	0.0727569416092069	0.117982002197993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0027438-T01-IM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.940630726976141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0028014-T01-IM6	0.630333254777685	0	0	0	0	0	0	0	0	0	0	0	0	0.114436345097118	0	0	0	0	0.172499231267331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
